Tribunal,Ano,Mês,Acórdão,Homologação de Acordo,Decisaão monocrárica,Total,Data Publicação 1,Data Publicação 2
tjms,2019,Março,5407,0,3586,8993,01-03-2019,31-03-2019
tjms,2019,Abril,0,0,0,0,01-04-2019,30-04-2019
tjms,2019,Maio,5860,0,3263,9123,01-05-2019,31-05-2019
tjms,2019,Junho,0,0,0,0,01-06-2019,30-06-2019
tjms,2019,Julho,5796,0,4097,9893,01-07-2019,31-07-2019
tjms,2019,Agosto,6910,0,3790,10700,01-08-2019,31-08-2019
tjms,2019,Setembro,0,0,0,0,01-09-2019,30-09-2019
tjms,2019,Outubro,6455,0,3478,9933,01-10-2019,31-10-2019
tjms,2019,Novembro,0,0,0,0,01-11-2019,30-11-2019
tjms,2019,Dezembro,5317,0,1865,7182,01-12-2019,31-12-2019
tjms,2020,Janeiro,0,0,0,0,01-01-2020,31-01-2020
tjms,2020,Fevereiro,0,0,0,0,01-02-2020,29-02-2020
tjms,2020,Março,0,0,0,0,01-03-2020,31-03-2020
tjms,2020,Abril,0,0,0,0,01-04-2020,30-04-2020
tjms,2020,Maio,0,0,0,0,01-05-2020,31-05-2020
tjms,2020,Junho,6636,0,3833,10469,01-06-2020,30-06-2020
tjms,2020,Julho,0,0,0,0,01-07-2020,31-07-2020
tjms,2020,Agosto,6152,0,2986,9138,01-08-2020,31-08-2020
tjms,2020,Setembro,7689,0,3928,11617,01-09-2020,30-09-2020
tjms,2020,Outubro,0,0,0,0,01-10-2020,31-10-2020
tjms,2020,Novembro,5909,0,2912,8821,01-11-2020,30-11-2020
tjms,2020,Dezembro,0,0,0,0,01-12-2020,31-12-2020
tjms,2021,Janeiro,3652,0,1261,4913,01-01-2021,31-01-2021
tjms,2021,Fevereiro,0,0,0,0,01-02-2021,28-02-2021
tjms,2021,Março,6817,0,3408,10225,01-03-2021,31-03-2021
tjms,2021,Abril,0,0,0,0,01-04-2021,30-04-2021
tjms,2021,Maio,6041,0,2767,8808,01-05-2021,31-05-2021
tjms,2021,Junho,0,0,0,0,01-06-2021,30-06-2021
tjms,2021,Julho,0,0,0,0,01-07-2021,31-07-2021
tjms,2021,Agosto,0,0,0,0,01-08-2021,31-08-2021
tjms,2021,Setembro,7443,0,4290,11733,01-09-2021,30-09-2021
tjms,2021,Outubro,8114,0,3976,12090,01-10-2021,31-10-2021
